Film,Year,Awards,Nominations,Decade,Win_Rate
The Killing Fields,1984,3,7,1980,0.42857142857142855
A Passage to India,1984,2,11,1980,0.18181818181818182
Places in the Heart,1984,2,7,1980,0.2857142857142857
Indiana Jones and the Temple of Doom,1984,1,2,1980,0.5
Charade,1984,1,1,1980,1.0
Dangerous Moves (La Diagonale du fou),1984,1,1,1980,1.0
Purple Rain,1984,1,1,1980,1.0
The Stone Carvers,1984,1,1,1980,1.0
The Times of Harvey Milk,1984,1,1,1980,1.0
Up,1984,1,1,1980,1.0
The Woman in Red,1984,1,1,1980,1.0
Terms of Endearment,1983,5,11,1980,0.45454545454545453
The Right Stuff,1983,4,8,1980,0.5
Fanny & Alexander (Fanny och Alexander),1983,4,6,1980,0.6666666666666666
Tender Mercies,1983,2,5,1980,0.4
Yentl,1983,1,5,1980,0.2
Flashdance,1983,1,4,1980,0.25
Boys and Girls,1983,1,1,1980,1.0
Flamenco at 5:15,1983,1,1,1980,1.0
He Makes Me Feel Like Dancin',1983,1,1,1980,1.0
Sundae in New York,1983,1,1,1980,1.0
The Year of Living Dangerously,1983,1,1,1980,1.0
Gandhi,1982,8,11,1980,0.7272727272727273
E.T.: The Extra-Terrestrial,1982,4,9,1980,0.4444444444444444
An Officer and a Gentleman,1982,2,6,1980,0.3333333333333333
Tootsie,1982,1,10,1980,0.1
Victor/Victoria,1982,1,7,1980,0.14285714285714285
Sophie's Choice,1982,1,5,1980,0.2
Missing,1982,1,4,1980,0.25
If You Love This Planet,1982,1,1,1980,1.0
A Shocking Accident,1982,1,1,1980,1.0
Tango,1982,1,1,1980,1.0
To Begin Again (Volver a empezar),1982,1,1,1980,1.0
Quest for Fire,1982,1,1,1980,1.0
Chariots of Fire,1981,4,7,1980,0.5714285714285714
Reds,1981,3,12,1980,0.25
On Golden Pond,1981,3,10,1980,0.3
Arthur,1981,2,4,1980,0.5
An American Werewolf in London,1981,1,1,1980,1.0
Close Harmony,1981,1,1,1980,1.0
Crac,1981,1,1,1980,1.0
Genocide,1981,1,1,1980,1.0
Mephisto,1981,1,1,1980,1.0
Violet,1981,1,1,1980,1.0
Ordinary People,1980,4,6,1980,0.6666666666666666
Tess,1980,3,6,1980,0.5
Raging Bull,1980,2,8,1980,0.25
Fame,1980,2,6,1980,0.3333333333333333
Melvin and Howard,1980,2,3,1980,0.6666666666666666
Coal Miner's Daughter,1980,1,7,1980,0.14285714285714285
The Dollar Bottom,1980,1,1,1980,1.0
The Fly (A Légy),1980,1,1,1980,1.0
From Mao to Mozart: Isaac Stern in China,1980,1,1,1980,1.0
Karl Hess: Toward Liberty,1980,1,1,1980,1.0
Moscow Does Not Believe in Tears,1980,1,1,1980,1.0
Kramer vs. Kramer,1979,5,9,1970,0.5555555555555556
All That Jazz,1979,4,9,1970,0.4444444444444444
Apocalypse Now,1979,2,8,1970,0.25
Norma Rae,1979,2,4,1970,0.5
Breaking Away,1979,1,5,1970,0.2
Alien,1979,1,2,1970,0.5
Being There,1979,1,2,1970,0.5
A Little Romance,1979,1,2,1970,0.5
Best Boy,1979,1,1,1970,1.0
Board and Care,1979,1,1,1970,1.0
Every Child,1979,1,1,1970,1.0
Paul Robeson: Tribute to an Artist,1979,1,1,1970,1.0
The Tin Drum (Die Blechtrommel),1979,1,1,1970,1.0
The Deer Hunter,1978,5,9,1970,0.5555555555555556
Coming Home,1978,3,8,1970,0.375
Midnight Express,1978,2,6,1970,0.3333333333333333
Heaven Can Wait,1978,1,9,1970,0.1111111111111111
Days of Heaven,1978,1,4,1970,0.25
California Suite,1978,1,3,1970,0.3333333333333333
The Buddy Holly Story,1978,1,3,1970,0.3333333333333333
Death on the Nile,1978,1,1,1970,1.0
The Flight of the Gossamer Condor,1978,1,1,1970,1.0
Get Out Your Handkerchiefs (Préparez vos mouchoirs),1978,1,1,1970,1.0
Scared Straight!,1978,1,1,1970,1.0
Special Delivery,1978,1,1,1970,1.0
Teenage Father,1978,1,1,1970,1.0
Thank God It's Friday,1978,1,1,1970,1.0
Annie Hall,1977,4,5,1970,0.8
Julia,1977,3,11,1970,0.2727272727272727
The Goodbye Girl,1977,1,5,1970,0.2
A Little Night Music,1977,1,2,1970,0.5
Gravity Is My Enemy,1977,1,1,1970,1.0
I'll Find a Way,1977,1,1,1970,1.0
Madame Rosa (La Vie devant soi),1977,1,1,1970,1.0
The Sand Castle (Le Château de sable),1977,1,1,1970,1.0
Who Are the DeBolts? And Where Did They Get Nineteen Kids?,1977,1,1,1970,1.0
You Light Up My Life,1977,1,1,1970,1.0
Rocky,1976,3,10,1970,0.3
Network,1976,4,10,1970,0.4
All the President's Men,1976,4,8,1970,0.5
Bound for Glory,1976,2,6,1970,0.3333333333333333
A Star Is Born,1976,1,4,1970,0.25
Fellini's Casanova (Il Casanova di Federico Fellini),1976,1,2,1970,0.5
The Omen,1976,1,2,1970,0.5
Black and White in Color (Noirs et blancs en couleur),1976,1,1,1970,1.0
"Harlan County, USA",1976,1,1,1970,1.0
In the Region of Ice,1976,1,1,1970,1.0
Leisure,1976,1,1,1970,1.0
Number Our Days,1976,1,1,1970,1.0
One Flew Over the Cuckoo's Nest,1975,5,9,1970,0.5555555555555556
Barry Lyndon,1975,4,7,1970,0.5714285714285714
Jaws,1975,3,4,1970,0.75
Dog Day Afternoon,1975,1,6,1970,0.16666666666666666
Nashville,1975,1,5,1970,0.2
Shampoo,1975,1,4,1970,0.25
The Sunshine Boys,1975,1,4,1970,0.25
Angel and Big Joe,1975,1,1,1970,1.0
Dersu Uzala,1975,1,1,1970,1.0
The End of the Game,1975,1,1,1970,1.0
Great (Great (Isambard Kingdom Brunel)),1975,1,1,1970,1.0
The Man Who Skied Down Everest,1975,1,1,1970,1.0
The Godfather: Part II,1974,6,11,1970,0.5454545454545454
The Towering Inferno,1974,3,8,1970,0.375
The Great Gatsby,1974,2,2,1970,1.0
Chinatown,1974,1,11,1970,0.09090909090909091
Murder on the Orient Express,1974,1,6,1970,0.16666666666666666
Alice Doesn't Live Here Anymore,1974,1,3,1970,0.3333333333333333
Harry and Tonto,1974,1,2,1970,0.5
Closed Mondays,1974,1,1,1970,1.0
Don't,1974,1,1,1970,1.0
Hearts and Minds,1974,1,1,1970,1.0
"One-Eyed Men Are Kings (...borgnes sont rois, Les)",1974,1,1,1970,1.0
The Sting,1973,7,10,1970,0.7
The Exorcist,1973,2,10,1970,0.2
The Way We Were,1973,2,6,1970,0.3333333333333333
Cries and Whispers (Viskningar och rop),1973,1,5,1970,0.2
A Touch of Class,1973,1,5,1970,0.2
Day for Night (La Nuit américaine),1973,1,4,1970,0.25
Paper Moon,1973,1,4,1970,0.25
The Paper Chase,1973,1,3,1970,0.3333333333333333
Save the Tiger,1973,1,3,1970,0.3333333333333333
The Bolero,1973,1,1,1970,1.0
Frank Film,1973,1,1,1970,1.0
The Great American Cowboy,1973,1,1,1970,1.0
Princeton: A Search for Answers,1973,1,1,1970,1.0
Cabaret,1972,8,10,1970,0.8
Travels with My Aunt,1972,1,4,1970,0.25
Butterflies Are Free,1972,1,3,1970,0.3333333333333333
The Candidate,1972,1,2,1970,0.5
The Discreet Charm of the Bourgeoisie (Le charme discret de la bourgeoisie),1972,1,2,1970,0.5
Marjoe,1972,1,1,1970,1.0
Norman Rockwell's World... An American Dream,1972,1,1,1970,1.0
This Tiny World,1972,1,1,1970,1.0
The French Connection,1971,5,8,1970,0.625
Fiddler on the Roof,1971,3,8,1970,0.375
The Last Picture Show,1971,2,8,1970,0.25
Nicholas and Alexandra,1971,2,6,1970,0.3333333333333333
Sentinels of Silence,1971,2,2,1970,1.0
Bedknobs and Broomsticks,1971,1,5,1970,0.2
Summer of '42,1971,1,4,1970,0.25
The Garden of the Finzi-Continis (Il Giardino dei Finzi-Contini),1971,1,2,1970,0.5
The Hospital,1971,1,2,1970,0.5
Klute,1971,1,2,1970,0.5
Shaft,1971,1,2,1970,0.5
The Crunch Bird,1971,1,1,1970,1.0
The Hellstrom Chronicle,1971,1,1,1970,1.0
Patton,1970,7,10,1970,0.7
Ryan's Daughter,1970,2,4,1970,0.5
Airport,1970,1,10,1970,0.1
Love Story,1970,1,7,1970,0.14285714285714285
M*A*S*H,1970,1,5,1970,0.2
Tora! Tora! Tora!,1970,1,5,1970,0.2
Women in Love,1970,1,4,1970,0.25
Lovers and Other Strangers,1970,1,3,1970,0.3333333333333333
Woodstock,1970,1,3,1970,0.3333333333333333
Cromwell,1970,1,2,1970,0.5
Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto),1970,1,2,1970,0.5
Interviews with My Lai Veterans,1970,1,1,1970,1.0
Is It Always Right to Be Right?,1970,1,1,1970,1.0
Let It Be,1970,1,1,1970,1.0
The Resurrection of Broncho Billy,1970,1,1,1970,1.0
Midnight Cowboy,1969,3,7,1960,0.42857142857142855
Butch Cassidy and the Sundance Kid,1969,4,7,1960,0.5714285714285714
"Hello, Dolly!",1969,3,7,1960,0.42857142857142855
Z,1969,2,5,1960,0.4
Anne of the Thousand Days,1969,1,10,1960,0.1
"They Shoot Horses, Don't They?",1969,1,9,1960,0.1111111111111111
Marooned,1969,1,3,1960,0.3333333333333333
The Magic Machines,1969,1,2,1960,0.5
The Prime of Miss Jean Brodie,1969,1,2,1960,0.5
True Grit,1969,1,2,1960,0.5
Arthur Rubinstein – The Love of Life (L'amour de la vie - Artur Rubinstein),1969,1,1,1960,1.0
Cactus Flower,1969,1,1,1960,1.0
Czechoslovakia 1968,1969,1,1,1960,1.0
It's Tough to Be a Bird,1969,1,1,1960,1.0
The Lion in Winter,1968,3,7,1960,0.42857142857142855
Romeo and Juliet,1968,2,4,1960,0.5
Funny Girl,1968,1,8,1960,0.125
2001: A Space Odyssey,1968,1,4,1960,0.25
Bullitt,1968,1,2,1960,0.5
The Producers,1967,1,2,1960,0.5
Rosemary's Baby,1968,1,2,1960,0.5
The Subject Was Roses,1968,1,2,1960,0.5
The Thomas Crown Affair,1968,1,2,1960,0.5
War and Peace (Voyna i mir),1968,1,2,1960,0.5
Charly,1968,1,1,1960,1.0
Journey into Self,1968,1,1,1960,1.0
Robert Kennedy Remembered,1968,1,1,1960,1.0
Why Man Creates,1968,1,1,1960,1.0
Winnie the Pooh and the Blustery Day,1968,1,1,1960,1.0
In the Heat of the Night,1967,5,7,1960,0.7142857142857143
Camelot,1967,3,5,1960,0.6
Bonnie and Clyde,1967,2,10,1960,0.2
Guess Who's Coming to Dinner,1967,2,10,1960,0.2
Doctor Dolittle,1967,2,9,1960,0.2222222222222222
The Graduate,1967,1,7,1960,0.14285714285714285
Thoroughly Modern Millie,1967,1,7,1960,0.14285714285714285
Cool Hand Luke,1967,1,4,1960,0.25
The Dirty Dozen,1967,1,4,1960,0.25
A Place to Stand,1967,1,2,1960,0.5
The Anderson Platoon (La Section Anderson),1967,1,1,1960,1.0
The Box,1967,1,1,1960,1.0
Closely Watched Trains (Ostre sledované vlaky),1967,1,1,1960,1.0
The Redwoods,1967,1,1,1960,1.0
A Man for All Seasons,1966,6,8,1960,0.75
Who's Afraid of Virginia Woolf?,1966,5,13,1960,0.38461538461538464
Grand Prix,1966,3,3,1960,1.0
Fantastic Voyage,1966,2,5,1960,0.4
A Man and a Woman,1966,2,4,1960,0.5
Born Free,1966,2,2,1960,1.0
The Fortune Cookie,1966,1,4,1960,0.25
A Funny Thing Happened on the Way to the Forum,1966,1,1,1960,1.0
A Herb Alpert and the Tijuana Brass Double Feature,1966,1,1,1960,1.0
The War Game,1966,1,1,1960,1.0
Wild Wings,1966,1,1,1960,1.0
A Year Toward Tomorrow,1966,1,1,1960,1.0
The Sound of Music,1965,5,10,1960,0.5
Doctor Zhivago,1965,5,10,1960,0.5
Darling,1965,3,5,1960,0.6
Ship of Fools,1965,2,8,1960,0.25
Cat Ballou,1965,1,5,1960,0.2
The Great Race,1965,1,5,1960,0.2
A Patch of Blue,1965,1,5,1960,0.2
A Thousand Clowns,1965,1,4,1960,0.25
The Shop on Main Street (Obchod na korze),1965,1,2,1960,0.5
The Sandpiper,1965,1,1,1960,1.0
The Eleanor Roosevelt Story,1965,1,1,1960,1.0
To Be Alive!,1965,1,1,1960,1.0
"20,000 Leagues Under the Sea",1954,2,3,1950,0.6666666666666666
Adventures of Don Juan,1949,1,2,1940,0.5
The Adventures of Robin Hood,1938,3,4,1930,0.75
The African Queen,1951,1,4,1950,0.25
Air Force,1943,1,4,1940,0.25
The Alamo,1960,1,7,1960,0.14285714285714285
The Alaskan Eskimo,1953,1,1,1950,1.0
Albert Schweitzer,1957,1,1,1950,1.0
Alexander's Ragtime Band,1938,1,6,1930,0.16666666666666666
All About Eve,1950,6,14,1950,0.42857142857142855
All That Money Can Buy,1941,1,2,1940,0.5
All the King's Men,1949,3,7,1940,0.42857142857142855
Ama Girls,1958,1,1,1950,1.0
America America,1963,1,4,1960,0.25
An American in Paris,1951,6,8,1950,0.75
Amphibious Fighters,1943,1,1,1940,1.0
Anastasia,1956,1,2,1950,0.5
Anchors Aweigh,1945,1,5,1940,0.2
Anna and the King of Siam,1946,2,5,1940,0.4
Annie Get Your Gun,1950,1,4,1950,0.25
Anthony Adverse,1936,4,7,1930,0.5714285714285714
The Apartment,1960,5,10,1960,0.5
Aquatic House Party,1949,1,1,1940,1.0
"Arise, My Love",1940,1,4,1940,0.25
Around the World in 80 Days,1956,5,8,1950,0.625
The Awful Truth,1937,1,6,1930,0.16666666666666666
The Bachelor and the Bobby-Soxer,1947,1,1,1940,1.0
The Bad and the Beautiful,1952,5,6,1950,0.8333333333333334
The Barefoot Contessa,1954,1,2,1950,0.5
The Battle of Midway,1942,1,1,1940,1.0
Battleground,1949,2,6,1940,0.3333333333333333
Bear Country,1953,1,1,1950,1.0
Becket,1964,1,12,1960,0.08333333333333333
The Bells of St. Mary's,1945,1,8,1940,0.125
Ben-Hur,1959,11,12,1950,0.9166666666666666
Benjy,1951,1,1,1950,1.0
The Bespoke Overcoat,1956,1,1,1950,1.0
Beyond the Line of Duty,1942,1,1,1940,1.0
The Big Broadcast of 1938,1938,1,1,1930,1.0
The Big Country,1958,1,2,1950,0.5
Birds Anonymous,1957,1,1,1950,1.0
The Bishop's Wife,1947,1,5,1940,0.2
Black Fox: The Rise and Fall of Adolf Hitler (The Black Fox),1962,1,1,1960,1.0
Black Narcissus,1947,2,2,1940,1.0
Black Orpheus (Orfeu Negro),1959,1,1,1950,1.0
The Black Swan,1942,1,3,1940,0.3333333333333333
Blithe Spirit,1946,1,1,1940,1.0
Blood and Sand,1941,1,2,1940,0.5
Blood on the Sun,1945,1,1,1940,1.0
Blossoms in the Dust,1941,1,4,1940,0.25
Body and Soul,1947,1,3,1940,0.3333333333333333
Bored of Education,1936,1,1,1930,1.0
Born Yesterday,1950,1,5,1950,0.2
A Boy and His Dog,1946,1,1,1940,1.0
Boys Town,1938,2,5,1930,0.4
The Brave One,1956,1,3,1950,0.3333333333333333
Breakfast at Tiffany's,1961,2,5,1960,0.4
Breaking the Sound Barrier,1952,1,2,1950,0.5
The Bridge on the River Kwai,1957,7,8,1950,0.875
The Bridges at Toko-Ri,1955,1,2,1950,0.5
Broadway Melody of 1936,1935,1,3,1930,0.3333333333333333
Broken Lance,1954,1,2,1950,0.5
Busy Little Bears,1939,1,1,1930,1.0
BUtterfield 8,1960,1,2,1960,0.5
Calamity Jane,1953,1,3,1950,0.3333333333333333
Call Me Madam,1953,1,2,1950,0.5
"Captain Carey, U.S.A.",1950,1,1,1950,1.0
Captains Courageous,1937,1,4,1930,0.25
Casablanca,1943,3,8,1940,0.375
Casals Conducts: 1964,1964,1,1,1960,1.0
The Cat Concerto,1946,1,1,1940,1.0
Chagall,1963,1,1,1960,1.0
Champion,1949,1,6,1940,0.16666666666666666
A Chance to Live,1949,1,1,1940,1.0
The Charge of the Light Brigade,1936,1,3,1930,0.3333333333333333
The Chicken (Le Poulet),1965,1,1,1960,1.0
Churchill's Island,1941,1,1,1940,1.0
Citizen Kane,1941,1,9,1940,0.1111111111111111
City of Wax,1934,1,1,1930,1.0
Cleopatra,1934,1,5,1930,0.2
Cleopatra,1963,4,9,1960,0.4444444444444444
Climbing the Matterhorn,1947,1,1,1940,1.0
Come and Get It,1936,1,2,1930,0.5
"Come Back, Little Sheba",1952,1,3,1950,0.3333333333333333
The Country Cousin,1936,1,1,1930,1.0
The Country Girl,1954,2,7,1950,0.2857142857142857
Cover Girl,1944,1,5,1940,0.2
The Cowboy and the Lady,1938,1,3,1930,0.3333333333333333
Crash Dive,1943,1,1,1940,1.0
Crashing the Water Barrier,1956,1,1,1950,1.0
The Critic,1963,1,1,1960,1.0
La Cucaracha,1934,1,1,1930,1.0
Cyrano de Bergerac,1950,1,1,1950,1.0
A Damsel in Distress,1937,1,2,1930,0.5
Dangerous,1935,1,1,1930,1.0
The Dark Angel,1935,1,3,1930,0.3333333333333333
Day of the Painter,1960,1,1,1960,1.0
Daybreak in Udi,1949,1,1,1940,1.0
Days of Wine and Roses,1962,1,5,1960,0.2
December 7th,1943,1,1,1940,1.0
Declaration of Independence,1938,1,1,1930,1.0
The Defiant Ones,1958,2,9,1950,0.2222222222222222
Der Fuehrer's Face,1942,1,1,1940,1.0
Desert Victory,1943,1,1,1940,1.0
Design for Death,1947,1,1,1940,1.0
Designing Woman,1957,1,1,1950,1.0
Destination Moon,1950,1,2,1950,0.5
The Diary of Anne Frank,1959,3,8,1950,0.375
Divorce Italian Style,1962,1,3,1960,0.3333333333333333
Dodsworth,1936,1,7,1930,0.14285714285714285
The Dot and the Line (The Dot and the Line: A Romance in Lower Mathematics),1965,1,1,1960,1.0
A Double Life,1947,2,4,1940,0.5
Dumbo,1941,1,2,1940,0.5
Dylan Thomas,1962,1,1,1960,1.0
East of Eden,1955,1,4,1950,0.25
Easter Parade,1948,1,1,1940,1.0
Elmer Gantry,1960,3,5,1960,0.6
The Enemy Below,1957,1,1,1950,1.0
Eskimo,1934,1,1,1930,1.0
Exodus,1960,1,3,1960,0.3333333333333333
The Face of Lincoln,1955,1,2,1950,0.5
Facing Your Danger,1946,1,1,1940,1.0
The Facts of Life,1960,1,5,1960,0.2
The Farmer's Daughter,1947,1,2,1940,0.5
Father Goose,1964,1,3,1960,0.3333333333333333
Federico Fellini's 8½,1963,2,5,1960,0.4
Ferdinand the Bull,1938,1,1,1930,1.0
The Fighting Lady,1944,1,1,1940,1.0
First Steps,1947,1,1,1940,1.0
Folies Bergere,1935,1,1,1930,1.0
For Scent-imental Reasons,1949,1,1,1940,1.0
For Whom the Bell Tolls,1943,1,9,1940,0.1111111111111111
Frenchman's Creek,1945,1,1,1940,1.0
From Here to Eternity,1953,8,13,1950,0.6153846153846154
Gaslight,1944,2,7,1940,0.2857142857142857
The Gay Divorcee,1934,1,5,1930,0.2
Gentleman's Agreement,1947,3,8,1940,0.375
Gerald McBoing-Boing,1950,1,1,1950,1.0
Giant,1956,1,10,1950,0.1
Gigi,1958,9,9,1950,1.0
Giuseppina,1960,1,1,1960,1.0
Give Me Liberty,1936,1,1,1930,1.0
Glass (Glas),1959,1,1,1950,1.0
The Glenn Miller Story,1954,1,3,1950,0.3333333333333333
Going My Way,1944,7,10,1940,0.7
Gold Diggers of 1935,1935,1,2,1930,0.5
The Golden Fish (Histoire d'un poisson rouge),1959,1,1,1950,1.0
Goldfinger,1964,1,1,1960,1.0
The Good Earth,1937,2,5,1930,0.4
"Goodbye, Miss Turlock",1947,1,1,1940,1.0
"Goodbye, Mr. Chips",1939,1,7,1930,0.14285714285714285
Grand Canyon,1958,1,1,1950,1.0
Grandad of Races,1950,1,1,1950,1.0
The Grapes of Wrath,1940,2,7,1940,0.2857142857142857
The Great Caruso,1951,1,3,1950,0.3333333333333333
Great Expectations,1947,2,5,1940,0.4
The Great Lie,1941,1,1,1940,1.0
The Great McGinty,1940,1,1,1940,1.0
The Great Waltz,1938,1,3,1930,0.3333333333333333
The Great Ziegfeld,1936,3,7,1930,0.42857142857142855
The Greatest Show on Earth,1952,2,5,1950,0.4
Green Dolphin Street,1947,1,4,1940,0.25
The Guns of Navarone,1961,1,7,1960,0.14285714285714285
Hamlet,1948,4,7,1940,0.5714285714285714
Happy Anniversary (Heureux Anniversaire),1962,1,1,1960,1.0
Harvey,1950,1,2,1950,0.5
The Harvey Girls,1946,1,2,1940,0.5
Heavenly Music,1943,1,1,1940,1.0
The Heiress,1949,4,8,1940,0.5
Helen Keller in Her Story (The Unconquered),1955,1,1,1950,1.0
"Hello, Frisco, Hello",1943,1,2,1940,0.5
Here Comes Mr. Jordan,1941,2,7,1940,0.2857142857142857
Here Comes the Groom,1951,1,2,1950,0.5
The High and the Mighty,1954,1,6,1950,0.16666666666666666
High Noon,1952,4,7,1950,0.5714285714285714
Hitler Lives,1945,1,1,1940,1.0
A Hole in the Head,1959,1,1,1950,1.0
The Hole,1962,1,1,1960,1.0
Holiday Inn,1942,1,3,1940,0.3333333333333333
The Horse with the Flying Tail,1960,1,1,1960,1.0
The House on 92nd Street,1945,1,1,1940,1.0
How Green Was My Valley,1941,5,10,1940,0.5
How the West Was Won,1963,3,8,1960,0.375
How to Sleep,1935,1,1,1930,1.0
Hud,1963,3,7,1960,0.42857142857142855
The Human Comedy,1943,1,5,1940,0.2
The Hurricane,1937,1,3,1930,0.3333333333333333
The Hustler,1961,2,9,1960,0.2222222222222222
I Want to Live!,1958,1,6,1950,0.16666666666666666
I Wanted Wings,1941,1,1,1940,1.0
I Won't Play,1944,1,1,1940,1.0
I'll Cry Tomorrow,1955,1,4,1950,0.25
In Beaver Valley,1950,1,1,1950,1.0
In Old Chicago,1937,2,6,1930,0.3333333333333333
The Informer,1935,4,6,1930,0.6666666666666666
Interrupted Melody,1955,1,3,1950,0.3333333333333333
The Invaders,1942,1,3,1940,0.3333333333333333
Irma la Douce,1963,1,3,1960,0.3333333333333333
It Happened One Night,1934,5,5,1930,1.0
"It's a Mad, Mad, Mad, Mad World",1963,1,6,1960,0.16666666666666666
Jezebel,1938,2,5,1930,0.4
Johann Mouse,1952,1,1,1950,1.0
Johnny Belinda,1948,1,12,1940,0.08333333333333333
Johnny Eager,1942,1,1,1940,1.0
The Joker Is Wild,1957,1,1,1950,1.0
The Jolson Story,1946,2,6,1940,0.3333333333333333
Judgment at Nuremberg,1961,2,11,1960,0.18181818181818182
Julius Caesar,1953,1,5,1950,0.2
Kentucky,1938,1,1,1930,1.0
Key Largo,1948,1,1,1940,1.0
The King and I,1956,5,9,1950,0.5555555555555556
King Solomon's Mines,1950,2,3,1950,0.6666666666666666
Kitty Foyle (Kitty Foyle: The Natural History of a Woman),1940,1,5,1940,0.2
Knighty Knight Bugs,1958,1,1,1950,1.0
Kokoda Front Line!,1942,1,1,1940,1.0
Kon-Tiki,1950,1,1,1950,1.0
La Strada (The Road),1956,1,2,1950,0.5
La Dolce Vita,1961,1,4,1960,0.25
Lady Be Good,1941,1,1,1940,1.0
Laura,1944,1,5,1940,0.2
The Lavender Hill Mob,1952,1,2,1950,0.5
Lawrence of Arabia,1962,7,10,1960,0.7
Leave Her to Heaven,1945,1,4,1940,0.25
Lend a Paw,1941,1,1,1940,1.0
Les Girls,1957,1,3,1950,0.3333333333333333
A Letter to Three Wives,1949,2,3,1940,0.6666666666666666
The Life of Emile Zola,1937,3,10,1930,0.3
Light in the Window,1952,1,1,1950,1.0
Lili,1953,1,6,1950,0.16666666666666666
Lilies of the Field,1963,1,5,1960,0.2
The Little Orphan,1948,1,1,1940,1.0
Little Women,1949,1,2,1940,0.5
The Lives of a Bengal Lancer,1935,1,7,1930,0.14285714285714285
The Living Desert,1953,1,1,1950,1.0
The Longest Day,1962,2,5,1960,0.4
Lost Horizon,1937,2,7,1930,0.2857142857142857
The Lost Weekend,1945,4,7,1940,0.5714285714285714
Love Is a Many-Splendored Thing,1955,3,8,1950,0.375
Love Me or Leave Me,1955,1,6,1950,0.16666666666666666
Lust for Life,1956,1,4,1950,0.25
Magoo's Puddle Jumper,1956,1,1,1950,1.0
Main Street on the March!,1941,1,1,1940,1.0
The Man Who Knew Too Much,1956,1,1,1950,1.0
Manhattan Melodrama,1934,1,1,1930,1.0
Marie-Louise,1945,1,1,1940,1.0
Marty,1955,4,8,1950,0.5
Mary Poppins,1964,5,13,1960,0.38461538461538464
Men Against the Arctic,1955,1,1,1950,1.0
The Merry Widow,1934,1,1,1930,1.0
Mighty Joe Young,1949,1,1,1940,1.0
Mildred Pierce,1945,1,6,1940,0.16666666666666666
The Milky Way,1940,1,1,1940,1.0
Miracle on 34th Street,1947,3,4,1940,0.75
The Miracle Worker,1962,2,5,1960,0.4
Mister Roberts,1955,1,3,1950,0.3333333333333333
Moonbird,1959,1,1,1950,1.0
The More the Merrier,1943,1,6,1940,0.16666666666666666
Moscow Strikes Back,1942,1,1,1940,1.0
Mother Wore Tights,1947,1,3,1940,0.3333333333333333
Moulin Rouge,1952,2,7,1950,0.2857142857142857
Mouse Trouble,1944,1,1,1940,1.0
Mr. Deeds Goes to Town,1936,1,5,1930,0.2
Mr. Smith Goes to Washington,1939,1,11,1930,0.09090909090909091
Mrs. Miniver,1942,6,12,1940,0.5
Munro,1960,1,1,1960,1.0
The Music Man,1962,1,6,1960,0.16666666666666666
Mutiny on the Bounty,1935,1,8,1930,0.125
My Fair Lady,1964,8,12,1960,0.6666666666666666
My Uncle (Mon oncle),1958,1,1,1950,1.0
My Gal Sal,1942,1,2,1940,0.5
The Naked City,1948,2,3,1940,0.6666666666666666
National Velvet,1945,2,5,1940,0.4
Nature's Half Acre,1951,1,1,1950,1.0
Naughty Marietta,1935,1,2,1930,0.5
Neighbours,1952,1,2,1950,0.5
Neptune's Daughter,1949,1,1,1940,1.0
Never on Sunday (Pote tin Kyriaki),1960,1,5,1960,0.2
The Night of the Iguana,1964,1,4,1960,0.25
Nights of Cabiria (Le Notti di Cabiria),1957,1,1,1950,1.0
Nine from Little Rock,1964,1,1,1960,1.0
None But the Lonely Heart,1944,1,4,1940,0.25
North West Mounted Police,1940,1,5,1940,0.2
"Now, Voyager",1942,1,3,1940,0.3333333333333333
An Occurrence at Owl Creek Bridge,1963,1,1,1960,1.0
Of Pups and Puzzles,1941,1,1,1940,1.0
Oklahoma!,1955,2,4,1950,0.5
The Old Man and the Sea,1958,1,3,1950,0.3333333333333333
The Old Mill,1937,1,1,1930,1.0
On the Town,1949,1,1,1940,1.0
On the Waterfront,1954,8,12,1950,0.6666666666666666
One Hundred Men and a Girl,1937,1,5,1930,0.2
One Night of Love,1934,2,6,1930,0.3333333333333333
Overture to The Merry Wives of Windsor,1953,1,1,1950,1.0
The Paleface,1948,1,1,1940,1.0
Panic in the Streets,1950,1,1,1950,1.0
Papa's Delicate Condition,1963,1,1,1960,1.0
Penny Wisdom,1937,1,1,1930,1.0
Phantom of the Opera,1943,2,4,1940,0.5
The Philadelphia Story,1940,2,6,1940,0.3333333333333333
Picnic,1955,2,6,1950,0.3333333333333333
The Picture of Dorian Gray,1945,1,3,1940,0.3333333333333333
Pillow Talk,1959,1,5,1950,0.2
The Pink Phink,1964,1,1,1960,1.0
Pinocchio,1940,2,2,1940,1.0
A Place in the Sun,1951,6,9,1950,0.6666666666666666
Plymouth Adventure,1952,1,1,1950,1.0
Porgy and Bess,1959,1,4,1950,0.25
Portrait of Jennie,1948,1,2,1940,0.5
Prelude to War,1942,1,1,1940,1.0
Pride and Prejudice,1940,1,1,1940,1.0
The Pride of the Yankees,1942,1,11,1940,0.09090909090909091
Princess O'Rourke,1943,1,1,1940,1.0
The Private Life of the Gannets,1937,1,1,1930,1.0
Project Hope,1961,1,1,1960,1.0
The Public Pays,1936,1,1,1930,1.0
Pygmalion,1938,1,4,1930,0.25
Quicker'n a Wink,1940,1,1,1940,1.0
The Quiet Man,1952,2,7,1950,0.2857142857142857
